subj_idx,ss_presented,inhibited,ssd,rt
2,1,1,200.0,-999.0
2,1,0,250.0,374.0
2,0,-999,-999.0,401.0
2,0,-999,-999.0,383.0
2,0,-999,-999.0,649.0
2,0,-999,-999.0,526.0
2,1,1,200.0,-999.0
2,0,-999,-999.0,438.0
2,0,-999,-999.0,439.0
2,0,-999,-999.0,477.0
2,1,0,250.0,274.0
2,0,-999,-999.0,248.0
2,0,-999,-999.0,620.0
2,0,-999,-999.0,391.0
2,0,-999,-999.0,388.0
2,0,-999,-999.0,346.0
2,0,-999,-999.0,436.0
2,0,-999,-999.0,443.0
2,0,-999,-999.0,679.0
2,1,0,200.0,375.0
2,0,-999,-999.0,428.0
2,0,-999,-999.0,514.0
2,0,-999,-999.0,481.0
2,1,1,200.0,-999.0
2,1,0,250.0,375.0
2,0,-999,-999.0,461.0
2,0,-999,-999.0,426.0
2,1,0,200.0,468.0
2,0,-999,-999.0,474.0
2,1,1,150.0,-999.0
2,0,-999,-999.0,323.0
2,1,0,200.0,412.0
2,0,-999,-999.0,685.0
2,0,-999,-999.0,421.0
2,0,-999,-999.0,350.0
2,0,-999,-999.0,428.0
2,0,-999,-999.0,412.0
2,0,-999,-999.0,663.0
2,0,-999,-999.0,469.0
2,0,-999,-999.0,523.0
2,0,-999,-999.0,470.0
2,0,-999,-999.0,443.0
2,0,-999,-999.0,396.0
2,0,-999,-999.0,371.0
2,0,-999,-999.0,363.0
2,1,0,150.0,378.0
2,0,-999,-999.0,436.0
2,0,-999,-999.0,448.0
2,1,1,100.0,-999.0
2,0,-999,-999.0,458.0
2,1,1,150.0,-999.0
2,0,-999,-999.0,477.0
2,0,-999,-999.0,476.0
2,0,-999,-999.0,501.0
2,1,0,200.0,467.0
2,1,1,150.0,-999.0
2,0,-999,-999.0,326.0
2,1,1,150.0,-999.0
2,0,-999,-999.0,404.0
2,0,-999,-999.0,413.0
2,0,-999,-999.0,540.0
2,0,-999,-999.0,507.0
2,0,-999,-999.0,414.0
2,0,-999,-999.0,348.0
2,0,-999,-999.0,495.0
2,1,0,200.0,407.0
2,0,-999,-999.0,492.0
2,0,-999,-999.0,407.0
2,0,-999,-999.0,529.0
2,1,0,150.0,478.0
2,0,-999,-999.0,628.0
2,0,-999,-999.0,384.0
2,0,-999,-999.0,424.0
2,0,-999,-999.0,465.0
2,1,0,100.0,509.0
2,0,-999,-999.0,392.0
2,0,-999,-999.0,561.0
2,1,1,50.0,-999.0
2,0,-999,-999.0,564.0
2,0,-999,-999.0,491.0
2,0,-999,-999.0,481.0
2,1,0,100.0,562.0
2,0,-999,-999.0,512.0
2,0,-999,-999.0,411.0
2,0,-999,-999.0,535.0
2,1,1,50.0,-999.0
2,1,1,100.0,-999.0
2,1,1,150.0,-999.0
2,1,1,200.0,-999.0
2,0,-999,-999.0,566.0
2,0,-999,-999.0,632.0
2,0,-999,-999.0,441.0
2,0,-999,-999.0,377.0
2,0,-999,-999.0,240.0
2,0,-999,-999.0,463.0
2,0,-999,-999.0,496.0
2,1,0,250.0,300.0
2,1,0,200.0,119.0
2,1,0,150.0,320.0
2,0,-999,-999.0,477.0
2,0,-999,-999.0,316.0
2,0,-999,-999.0,315.0
2,0,-999,-999.0,442.0
2,0,-999,-999.0,260.0
2,0,-999,-999.0,328.0
2,0,-999,-999.0,355.0
2,1,0,100.0,490.0
2,0,-999,-999.0,425.0
2,0,-999,-999.0,333.0
2,1,0,50.0,442.0
2,0,-999,-999.0,412.0
2,0,-999,-999.0,507.0
2,1,1,50.0,-999.0
2,0,-999,-999.0,479.0
2,0,-999,-999.0,436.0
2,0,-999,-999.0,291.0
2,0,-999,-999.0,428.0
2,0,-999,-999.0,418.0
2,0,-999,-999.0,111.0
2,0,-999,-999.0,497.0
2,1,0,100.0,332.0
2,0,-999,-999.0,451.0
2,0,-999,-999.0,390.0
2,0,-999,-999.0,480.0
2,0,-999,-999.0,612.0
2,0,-999,-999.0,370.0
2,0,-999,-999.0,524.0
2,0,-999,-999.0,481.0
2,0,-999,-999.0,465.0
2,0,-999,-999.0,494.0
2,1,1,50.0,-999.0
2,0,-999,-999.0,535.0
2,0,-999,-999.0,492.0
2,0,-999,-999.0,467.0
2,0,-999,-999.0,389.0
2,0,-999,-999.0,72.0
2,0,-999,-999.0,61.0
2,0,-999,-999.0,449.0
2,0,-999,-999.0,363.0
2,1,0,100.0,437.0
2,0,-999,-999.0,929.0
2,1,1,50.0,-999.0
2,0,-999,-999.0,379.0
2,0,-999,-999.0,556.0
2,0,-999,-999.0,439.0
2,1,1,100.0,-999.0
2,0,-999,-999.0,577.0
2,0,-999,-999.0,535.0
2,0,-999,-999.0,498.0
2,0,-999,-999.0,578.0
2,1,1,150.0,-999.0
2,0,-999,-999.0,440.0
2,0,-999,-999.0,511.0
2,0,-999,-999.0,467.0
2,0,-999,-999.0,383.0
2,0,-999,-999.0,503.0
2,0,-999,-999.0,450.0
2,0,-999,-999.0,527.0
2,1,0,50.0,495.0
2,1,1,200.0,-999.0
2,0,-999,-999.0,396.0
2,0,-999,-999.0,511.0
2,1,0,250.0,499.0
2,0,-999,-999.0,461.0
2,1,0,200.0,441.0
2,0,-999,-999.0,564.0
2,1,1,150.0,-999.0
2,0,-999,-999.0,607.0
2,1,0,200.0,539.0
2,0,-999,-999.0,367.0
2,0,-999,-999.0,513.0
2,0,-999,-999.0,434.0
2,0,-999,-999.0,606.0
2,0,-999,-999.0,477.0
2,0,-999,-999.0,533.0
2,1,1,150.0,-999.0
2,0,-999,-999.0,578.0
2,1,1,200.0,-999.0
2,0,-999,-999.0,727.0
2,0,-999,-999.0,561.0
2,0,-999,-999.0,372.0
2,0,-999,-999.0,498.0
2,1,0,250.0,438.0
2,0,-999,-999.0,616.0
2,0,-999,-999.0,556.0
2,0,-999,-999.0,538.0
2,1,0,50.0,584.0
2,1,0,50.0,385.0
2,1,0,200.0,509.0
2,0,-999,-999.0,408.0
